6.31,0.97,11.32,1.37,6.75,0.9,9.29,1.44
6.92,1,96.57,5.68,6.06,1,80.16,4.7
4.55,0.99,16.37,1.39,4.3,1.00,13.45,1.26
67.97,0.93,30.37,4.33,251.07,0.96,68.98,8.27
84.16,1,241.03,14.64,240.97,1.00,792.96,47.02
99.7,0.97,39.82,5.3,173.44,0.99,84.23,8.09
17.58,0.95,17.49,2.27,4.5,0.94,7.69,1.09
19.7,1,135.12,8.12,1.23,1,27.68,1.68
21.82,0.98,28.32,2.77,6.34,0.99,20.89,1.7
1.39,0.97,5.72,0.67,3.33,0.97,8.99,1.03
1.06,1,31.11,1.85,4.74,1.00,70.56,4.19
1.35,1,10.9,0.83,5.03,0.99,16.15,1.41
0.44,0.92,2.1,0.34,1.58,0.95,4.81,0.66
0.04,1,5.48,0.33,1.29,1.00,19.61,1.16
0.23,1,8.48,0.55,0.98,1.00,11.76,0.83
3.46,0.91,5.98,0.94,3.06,0.95,6.12,0.94
3.01,1,21.35,1.37,0.58,1.00,15.72,0.93
2.36,0.99,12.05,0.98,0.77,1.00,9.17,0.68
0.79,0.93,3.13,0.51,756.71,0.91,83.93,14.33
0.26,1.00,10.48,0.6,939.14,1.00,1686.73,100.5
0.35,1.00,7.32,0.51,698.01,0.97,99.12,13.93
